PRODUCT_GRP,TOTAL_CUST_ORDER,TOT_CUSTORDER_ALLOCATION,TOT_FORCAST_ORDER,TOT_FCSTORDER_ALLOCATION,TOTAL_ORDER,TOTAL_ALLOCATION,PRIORITY,Original_Fill_Rate,Adjusted_Allocation_Increase,Adjusted_Order_Decrease,Adjusted_Fill_Rate_Increase,Adjusted_Allocation_Decrease,Adjusted_Order_Increase,Adjusted_Fill_Rate_Decrease
AS CAST BILLETS,8606.369999999999,8606.370039,173554.0,159540.671093,103335.37,89602.041132,30622,0.8670994368336805,98562.2452452,93001.833,1.0597882005744983,80641.8370188,113668.907,0.7094449937730112
AS CAST BLOOMS,65054.969999999994,64814.970047999996,1312709.0,1076884.547323,1298317.97,1062253.517371,45360,0.818176703947955,1168478.8691081002,1168486.173,0.9999937492697231,956028.1656339001,1428149.767,0.6694173032301451
AS CAST ROUNDS,62432.090000000004,62431.969883,1592407.0,1457814.826984,1300164.09,1176941.796867,72120,0.9052255833854017,1294635.9765537,1170147.681,1.106386824137713,1059247.6171803,1430180.4990000003,0.7406391136789648
BS,2075.369999999997,2075.369971,24234.0,22703.9358,21985.369999999995,20455.305771,29404,0.9304053455093093,22500.8363481,19786.832999999995,1.1371620889558227,18409.7751939,24183.906999999996,0.7612407372348895
CRCA,718726.8299999996,653311.492319,13569700.0,7969607.393126,11619829.83,6256039.5938409995,193618,0.5383933917594212,6881643.5532251,10457846.847000001,0.6580363677059593,5630435.6344569,12781812.813000001,0.44050368416679925
CRFH,13486.559999999987,7913.740004,289319.0,211258.383602,264674.56,189541.742007,22954,0.7161313199387201,208495.9162077,238207.104,0.8752716132584358,170587.5678063,291142.016,0.5859256254044075
DUMMY_HM,0.0,0.0,1171283.3133999999,1171276.919435,1171283.3133999999,1171276.919435,10000,0.9999945410602826,1288404.6113785002,1054154.9820599998,1.22221555018479,1054149.2274915,1288411.64474,0.8181773517765949
GA,146799.3399999997,132028.976822,1510573.0,640885.022148,1371312.3399999996,617750.709799,70718,0.4504814051326922,679525.7807789,1234181.1059999997,0.5505883840510682,555975.6388191,1508443.5739999998,0.3685756951085663
GBAL,3990.0299999999997,3990.029997,147671.0,53089.186296,76013.03,33917.029997,16916,0.4462002106349398,37308.732996700004,68411.727,0.5453558129982599,30525.3269973,83614.333,0.3650728996104053
GI,536753.33,388510.004068,9242232.0,8402457.811712,8009585.33,7053763.668281,179970,0.8806652751249233,7759140.035109101,7208626.797,1.0763686695971286,6348387.3014529,8810543.863,0.720544316011301
GL,158787.11,124656.004027,3733310.0,3470937.115651,3217620.11,2928994.159178,99023,0.9102983133636618,3221893.5750958,2895858.099,1.1125868274444757,2636094.7432602,3539382.1210000003,0.7447895291157233
HR,1311027.619999999,1149432.380906,41580921.0,40946695.854086,34541851.62,34261902.45116,173936,0.9918953629955984,37688092.696276,31087666.457999997,1.2123165547723982,30835712.206044,37996036.782,0.8115507515418533
HRCTL,309702.7999999993,275495.459954,5808006.0,5058152.805305,4922134.799999999,4342964.29392,125641,0.8823334732563605,4777260.723312001,4429921.319999999,1.0784075784244407,3908667.8645280004,5414348.279999999,0.7219092053915677
HRGI,17520.13,8204.740021,696370.0,650848.025289,595342.13,542967.76531,55127,0.9120264431983002,597264.5418410001,535807.917,1.1146989861312557,488670.98877900006,654876.3430000001,0.7462034535258819
HRPO,304773.37999999966,269991.65336,5989991.0,4928203.586137,5069206.38,4076786.375808,159225,0.8042257643903621,4484465.0133888,4562285.742,0.9829426009215537,3669107.7382272,5576127.018,0.658002898137569
HTLPF,3420.439999999997,3420.439957,66399.0,59099.999962,56824.439999999995,49525.439919,3878,0.8715517463788469,54477.9839109,51141.996,1.0652299122408129,44572.8959271,62506.884,0.7130877924917838
HTPRB_BLM,3051.64,2971.639977,26157.0,22200.729091,24316.64,20280.369068,49511,0.8340119797801012,22308.4059748,21884.976,1.0193479752867904,18252.3321612,26748.304,0.682373438001901
HTPRB_BRM,3465.92,2999.919975,28112.0,22039.166594,25787.920000000002,19416.249469,56774,0.7529203390191995,21357.8744159,23209.128,0.9202359699123552,17474.6245221,28366.712000000003,0.6160257319247996
HTWRC,16201.199999999997,14359.419984,166381.0,84332.657058,156184.19999999998,73949.349354,45561,0.47347522575266904,81344.2842894,140565.78,0.5786919425865954,66554.4144186,171802.62,0.38738882107036554
LPF,16336.709999999997,14795.219991,344380.0,275148.128923,285132.71,228967.456691,33853,0.8030206590152353,251864.20236010003,256619.439,0.9814696943519544,206070.7110219,313645.981,0.6570169028306471
LRPC,0.0,0.0,512388.0,486126.248955,376325.0,374476.999993,70487,0.9950893509413407,411924.6999923,338692.5,1.2162203178171942,337029.2999937,413957.50000000006,0.8141640144065513
NOFP,48473.929999999986,45117.069765,834261.0,803160.945182,742277.9299999999,708099.014947,39063,0.9539540195503321,778908.9164417001,668050.137,1.1659438016726282,637289.1134523,816505.723,0.7805078341775443
NOSP,25460.079999999933,24060.079969,741751.0,699748.469777,655762.08,612359.549746,27902,0.9338136016434497,673595.5047206,590185.872,1.1413277353419942,551123.5947714,721338.2880000001,0.7640293104355497
PPGI,101709.17,86599.976086,2473861.0,2147651.508009,2111729.17,1781136.469997,110418,0.8434492904206082,1959250.1169967002,1900556.253,1.0308824660696323,1603022.8229973,2322902.0870000003,0.6900948739804975
PPGL,231129.43,192064.099385,7856306.0,7436533.079853,6642689.43,6185556.231738,93828,0.9311825122822279,6804111.8549118005,5978420.487,1.1381119594560565,5567000.6085642,7306958.373000001,0.7618766009581863
PRB_BLM,90522.13999999996,85775.499923,1527671.0,1474979.613475,1332982.14,1277033.720198,120824,0.9580276298360608,1404737.0922178002,1199683.926,1.1709226586885189,1149330.3481782002,1466280.354,0.7838407880476861
PRB_BRM,55612.54999999993,54378.149943,1171984.0,922550.389316,1018129.5499999999,775759.501541,130860,0.761945767649117,853335.4516951,916316.595,0.9312670493489208,698183.5513869,1119942.5050000001,0.6234101735310956
RCS,0.0,0.0,373810.0,357974.651189,309271.0,293435.651189,63127,0.9487978219393347,322779.21630790003,278343.9,1.159641782370298,264092.0860701,340198.10000000003,0.7762891270412738
SLAB,0.0,0.0,2256502.0,1462312.600159,1859015.0,1171212.99762,11295,0.6300180459114101,1288334.2973820001,1673113.5,0.7700220561139457,1054091.6978580002,2044916.5000000002,0.5154693102911537
TFS,10226.99,5274.732417,100825.0,42976.187193,92382.99,48250.91961,78592,0.5222922489302413,53076.011571,83144.691,0.6383571931369617,43425.827649,101621.28900000002,0.4273300218520156
TIN,113128.24999999991,104129.099651,2025083.0,1544894.636553,1727766.25,1244132.79073,201991,0.7200816607744248,1368546.0698030002,1554989.625,0.880099807613186,1119719.511657,1900542.8750000002,0.5891577224518021
TMBP,873.21,821.21,24926.0,15213.445602,16667.21,12515.21,23571,0.7508881210472539,13766.731,15000.489,0.9177521479466436,11263.689,18333.931,0.6143630081295713
TMT,611.5799999999992,596.430008,16250634.0,15419751.694423,12771722.58,12342015.47538,64997,0.9663548043790973,13576217.022918,11494550.322,1.1811003164633411,11107813.927842,14048894.838000001,0.7906539308556251
TMT - CF,0.0,0.0,33422.0,33422.0,33422.0,33422.0,2280,1.0,36764.200000000004,30079.8,1.2222222222222223,30079.8,36764.200000000004,0.818181818181818
TMT-CF,0.0,0.0,404803.0,363446.509975,404803.0,363446.509975,24988,0.8978355149912426,399791.16097250005,364322.7,1.09735451832263,327101.8589775,445283.30000000005,0.734592694083744
WR,0.0,0.0,1066786.0,941342.4404,0.0,0.0,18378,,0.0,0.0,,0.0,0.0,
WR - AL,44532.60999999997,40849.71992,932215.0,818798.429482,976747.61,859648.149402,120184,0.8801128772682638,945612.9643422001,879072.849,1.0756935166612114,773683.3344618,1074422.371,0.7200923541285795
WR - L,34479.1,29376.449874,4383202.0,4212174.709666,4417681.1,4241551.15954,128616,0.9601306802204443,4665706.275494001,3975912.9899999998,1.1734930536027655,3817396.0435860003,4859449.21,0.7855614656349089
ZM,10090.25,8868.170016,488603.0,457866.321808,401134.25,369175.491824,35780,0.9203290215781874,406093.0410064001,361020.825,1.1248465819288958,332257.94264160004,441247.67500000005,0.752996472200335
