LOC,udc_product_grp,Feb,Mar,Apr,May,Jun,Grand Total
1001,SLAB,115013.87,517775.8,547787.16,488873.2,128585.18,1798035.21
1001,HR,139235.52,618875.56,599858.57,171914.74,105093.14,1634977.53
1001,CRCA,91886.47,457258.92,377738.83,31774.68,964.27,959623.17
1001,CRFH,36425.75,165366.16,146158.59,44485.75,9954.17,402390.42
1001,HRPO,31766.13,168773.06,153621.74,8384.76,395.63,362941.32
1001,MGP,0,20384.88,77616,177513.12,70343.46,345857.46
1001,AS CAST BILLETS,17876.26,91177.61,117653.46,92935.37,19871.99,339514.69
1001,WR - L,22361.26,123901.63,88493.37,26913.63,7196.76,268866.65
1001,HRCTL,27745.18,97724.54,118682.51,20184.71,1208.7,265545.64
1001,GI,22219.59,130111.74,91295.74,10191.17,3262.61,257080.85
1001,TMT,5007.79,91948.1,70050.42,421.91,73.61,167501.83
1001,GA,17923.16,61060.05,28262.18,8602.77,2161.45,118009.61
1001,NOFP,5788.28,35262.2,29320.95,11322.63,2145.2,83839.26
1001,NOSP,7053.55,27233.88,15466.46,3570.56,17.81,53342.26
1001,GL,2871.28,18360.33,13668.13,1680.61,383.16,36963.51
1001,ZM,4433.33,13860.3,16892.61,1156.46,283.74,36626.44
1001,GBAL,2585.84,10343.36,10343.36,10343.36,2585.84,36201.76
1001,TMT-CF,3042.88,13210.85,8498.15,0.08,0.02,24751.98
1001,HR2,0,5336.35,13946.04,7.09,5.41,19294.89
1001,LRPC,2076.51,6663.32,6238.16,34.52,8.64,15021.15
1001,PPGL,38.09,5545.58,5995.85,23,5.75,11608.27
1001,WR - AL,550.05,4725.35,3095.9,210,65.69,8646.99
1001,PPGI,16.58,66.32,66.32,66.32,16.58,232.12
1001,DRI,0,0.01,153.85,-0.08,-0.02,153.76
1002,AS CAST BILLETS,6396.39,40861.16,68954.89,87380.72,27779.89,231373.05
1002,AS CAST BLOOMS,12663.99,62160.59,67144.85,72718.38,12309.05,226996.86
1002,PRB_BRM,15968.96,66434.34,42577.27,625.69,2458.35,128064.61
1002,LPF,4797.63,20112.67,9685.09,4382.02,3110.85,42088.26
1002,RCS,3228.87,12996.66,14663.86,8053.05,133.03,39075.47
1002,WR - AL,4803.22,16933.39,4142.98,744.4,661.94,27285.93
1002,AS CAST ROUNDS,2546.58,7085.56,7980.93,7663.77,1759.05,27035.89
1002,GBAL,2128.26,8272.7,7756.18,4421.91,891.77,23470.82
1002,HTWRC,2285.81,10327.76,5483.56,474.44,218.79,18790.36
1002,WR - L,2473.27,9863.06,2766.11,378.8,493.85,15975.09
1002,HTLPF,490.96,2066.92,500,1176.11,490.96,4724.95
1002,HTPRB_BRM,572.64,1407.26,20.41,30.47,2.87,2033.65
1002,BS,97.89,497.37,190.1,285.15,0,1070.51
1002,HEX,0,0,0,0,0,0
1002,MGP,0,0,0,0,0,0
1002,HR,0,0,0,0,0,0
1002,SLAB,0,0,0,0,0,0
1007,HR,87961.26,485329.6,363196.42,209067.16,75413.2,1220967.64
1007,SLAB,60503.94,240601.77,476377.54,256640.15,59436.96,1093560.36
1007,AS CAST BILLETS,19629.23,90471.21,188428.12,38733.22,3269.14,340530.92
1007,HRCTL,10985.28,44048.27,37148.97,6968.47,1852.05,101003.04
1007,TMT,677.64,48066.01,9615.91,-0.12,-0.03,58359.41
1007,HRPO,2900.34,14065.06,14564.09,3358.38,83.65,34971.52
1007,DRI,0,0,0.08,29694.26,0.05,29694.39
1007,MGP,0,0,0,14934.39,7369.47,22303.86
