SIMULATION_NAME,PRODUCT_GRP,SEGMNT,TOTAL_CUST_ORDER,TOT_CUSTORDER_ALLOCATION,TOT_FORCAST_ORDER,TOT_FCSTORDER_ALLOCATION,TOTAL_ORDER,TOTAL_ALLOCATION,MONTH,PRIORITY,UDC_SEGMENT
MONTHLY_MAX_DEMSAT,GL,OE_DOMESTIC,0,0,6110,6101,6110,6101,01-Mar-25,34,STR
MONTHLY_MAX_DEMSAT,TIN,OE_DOMESTIC,0,0,2010,1996,2010,1996,01-Mar-25,2000,FOC
MONTHLY_MAX_DEMSAT,WR - AL,MS_DOMESTIC,0,0,1287,1287,1287,1287,01-Mar-25,36,STP
MONTHLY_MAX_DEMSAT,GA,SA_DOMESTIC,0,0,885,885,885,885,01-Apr-25,46,PRY
MONTHLY_MAX_DEMSAT,ZM,MS_DOMESTIC,0,0,8,8,8,8,01-Apr-25,46,EMG
MONTHLY_MAX_DEMSAT,PPGL,OE_DOMESTIC,0,0,5680,5603,5680,5603,01-Apr-25,46,STR
MONTHLY_MAX_DEMSAT,HRCTL,RE_DOMESTIC,0,0,1977,1930,1977,1930,01-Apr-25,49,PRY
MONTHLY_MAX_DEMSAT,GL,RE_DOMESTIC,0,0,2341,2283,2341,2283,01-May-25,58,PRY
MONTHLY_MAX_DEMSAT,RCS,RE_DOMESTIC,0,0,151,141,151,141,01-May-25,58,STP
MONTHLY_MAX_DEMSAT,CRCA,SA_DOMESTIC,0,0,1549,1549,1549,1549,01-May-25,2000,EMG
MONTHLY_MAX_DEMSAT,NOSP,OE_DOMESTIC,0,0,31,31,31,31,01-May-25,58,FOC
MONTHLY_MAX_DEMSAT,WR - AL,SA_DOMESTIC,0,0,1244,1217,1244,1217,01-May-25,2000,STR
MONTHLY_MAX_DEMSAT,GA,SA_DOMESTIC,2109.18,2109.180002,0,0,2109.18,2109.180002,01-Feb-25,2500,PRY
MONTHLY_MAX_DEMSAT,GL,OE_DOMESTIC,319.08,319.08,0,0,319.08,319.08,01-Feb-25,3,FOC
MONTHLY_MAX_DEMSAT,ZM,OE_DOMESTIC,540,0,0,0,540,0,01-Feb-25,-1,PRY
MONTHLY_MAX_DEMSAT,CRFH,OE_DOMESTIC,1100,0,0,0,1100,0,01-Feb-25,-1,STP
MONTHLY_MAX_DEMSAT,HRGI,OE_DOMESTIC,155.23,155.230001,0,0,155.23,155.230001,01-Feb-25,3,STR
MONTHLY_MAX_DEMSAT,HRPO,RE_DOMESTIC,2361.84,2274.120001,0,0,2361.84,2274.120001,01-Feb-25,4,PRY
MONTHLY_MAX_DEMSAT,HRPO,OE_DOMESTIC,307,0,0,0,307,0,01-Feb-25,-1,STP
MONTHLY_MAX_DEMSAT,PPGL,MS_DOMESTIC,0,0,17,17,17,17,01-Feb-25,8,FOC
MONTHLY_MAX_DEMSAT,PPGL,MS_DOMESTIC,89,44,0,0,89,44,01-Feb-25,2,STP
MONTHLY_MAX_DEMSAT,PRB_BLM,RE_DOMESTIC,0,0,593,593,593,593,01-Feb-25,11,STR
MONTHLY_MAX_DEMSAT,WR - AL,MS_DOMESTIC,254.86,254.86,0,0,254.86,254.86,01-Feb-25,4,EMG
MONTHLY_MAX_DEMSAT,WR - AL,MS_DOMESTIC,0,0,54,54,54,54,01-Feb-25,11,PRY
MONTHLY_MAX_DEMSAT,HR,OE_DOMESTIC,7652.96,0,0,0,7652.96,0,01-Mar-25,-1,STP
MONTHLY_MAX_DEMSAT,CRCA,OE_DOMESTIC,3993.1,3993.100013,0,0,3993.1,3993.100013,01-Mar-25,23,STP
MONTHLY_MAX_DEMSAT,PRB_BLM,OE_DOMESTIC,0,0,3392,3378,3392,3378,01-Mar-25,36,STP
MONTHLY_MAX_DEMSAT,AS CAST ROUNDS,OE_DOMESTIC,35.19,35.189999,0,0,35.19,35.189999,01-Mar-25,2500,STP
MONTHLY_MAX_DEMSAT,GI,RE_DOMESTIC,0,0,2086,2086,2086,2086,01-Apr-25,47,EMG
MONTHLY_MAX_DEMSAT,GI,SA_DOMESTIC,0,0,22,22,22,22,01-Apr-25,2000,EMG
