Plantname ,ITEM Name,Karnataka,Maharashtra,North,South,Grand Total
Dolvi,HR_LC_2.50-3.39_1101-1280,2054.23999,372758.1725,70673.1063,8044.240066,453529.7589
Dolvi,HR_LC_2.00-2.49_1101-1280,,316626.5381,21534.72516,3729,341890.2632
Dolvi,HR_LC_2.00-2.49_900-1100,,154818.9499,10689.32972,235,165743.2796
Dolvi,HR_STR_3.40-25.4_1281-1550,,51379.6795,79990.9607,2038.899994,133409.5402
Dolvi,HR_LC_2.50-3.39_1281-1550,,98483.83316,15598.88294,1181.899994,115264.6161
Dolvi,HR_LC_RH_2.50-3.39_1101-1280,,83530.25891,103,,83633.25891
Dolvi,HR_LC_2.00-2.49_1281-1550,,59524.28893,18945.02107,,78469.31
Dolvi,HR_LC_3.40-25.4_1101-1280,,76126.44504,233,,76359.44504
Dolvi,S_TMTBF_25_500D-550D-600D,,41178.20039,20639.13398,,61817.33437
Dolvi,HR_STR_2.50-3.39_1101-1280,,50206.20721,4134.280334,1193,55533.48755
Dolvi,S_TMTBF_32_500D-550D-600D,,42176.91951,9878.310005,,52055.22951
VJNR,HR_LC_2.50-3.39_1101-1280,122327.64,19702.48782,26055.59658,10079.58,178165.3044
VJNR,S_TMTBF_16_500D-550D-600D,40874.00085,858.99998,13017.03355,53349.75103,108099.7854
VJNR,S_TMTBF_20_500D-550D-600D,33726.74999,18071.99989,8064.382942,33489.15931,93352.29213
VJNR,S_TMTBF_25_500D-550D-600D,20244.94019,24.9,4326.999989,61900.70027,86497.54044
VJNR,S_TMTBF_10_500D-550D-600D,34704.00104,141.43,756.000015,44180.01624,79781.44729
VJNR,S_TMTBF_12_500D-550D-600D,34211.34763,458.999992,4352.669989,40236.54538,79259.56299
VJNR,HR_LC_2.00-2.49_1101-1280,12532.46301,37738.77756,19345.55581,5008,74624.79638
VJNR,S_TMTBF_8_500D-550D-600D,41786.9998,564.650001,979.49,23721.46134,67052.60114
VJNR,HR_LC_3.40-25.4_1281-1550,25148,10833.1726,8319,22627.43897,66927.61157
VJNR,HR_LC_2.00-2.49_1281-1550,200,15748.28772,48622.90762,2125,66696.19534
VJNR,S_WRCF_5.5-5.5_HC_SR,9609,17355.11096,30501.99988,4414,61880.11084
VTK,PPGL_CL_HARD_PLAIN_0.46-0.60_1101-1235,,37306.35061,8799.431741,55967.95724,102073.7396
VTK,GL_CL_HARD_0.46-0.60_1101-1235,3306.649994,4563.000023,41158.88256,17537.1394,66565.67198
VTK,CRCA_CL_LC_0.81-1.20_1236-1280,,18637.46534,4293,,22930.46534
VTK,PPGL_CL_HARD_PLAIN_0.35-0.45_1101-1235,,7597.706299,345,10586.36,18529.0663
VTK,CRCA_CL_LC_1.21-1.50_1236-1280,,13303.57997,4256.220001,,17559.79997
VTK,GI_CL_LC_NONZERO_1.51-2.30_1236-1280,,5541.000015,11433.70529,,16974.70531
VTK,GI_CL_LC_NONZERO_0.81-1.20_1236-1280,,10733,4044,,14777
VTK,CRFH_CL_LC_0.46-0.60_1281-1350,,13390.23792,,,13390.23792
VTK,PPGL_CL_LC_PLAIN_0.35-0.45_1101-1235,,5489.039978,45,5521.689999,11055.72998
VTK,CRCA_CL_LC_0.81-1.20_1101-1235,,8948,1842,,10790
VTK,PPGI_CL_HARD_PLAIN_0.46-0.60_1101-1235,10,10201.99963,,327.649995,10539.64962
