SIMULATION_NAME,PRODUCT_GRP,SEGMNT,TOTAL_CUST_ORDER,TOT_CUSTORDER_ALLOCATION,TOT_FORCAST_ORDER,TOT_FCSTORDER_ALLOCATION,TOTAL_ORDER,TOTAL_ALLOCATION,MONTH,PRIORITY,UDC_SEGMENT
MONTHLY_MAX_PROFIT,PRB_BRM,DE_DOMESTIC,0,0,31,31,31,31,01-May-25,58,STR
MONTHLY_MAX_PROFIT,WR - AL,SA_DOMESTIC,0,0,49,49,49,49,01-May-25,58,STP
MONTHLY_MAX_PROFIT,HR,RE_DOMESTIC,0,0,10635,10610,10635,10610,01-Feb-25,17,FOC
MONTHLY_MAX_PROFIT,HRPO,RE_DOMESTIC,2598.74,2548.739998,0,0,2598.74,2548.739998,01-Feb-25,4,PRY
MONTHLY_MAX_PROFIT,HRCTL,MS_DOMESTIC,0,0,115,97,115,97,01-Feb-25,17,EMG
MONTHLY_MAX_PROFIT,HTWRC,MS_DOMESTIC,38.77,38.77,0,0,38.77,38.77,01-Feb-25,2,STP
MONTHLY_MAX_PROFIT,WR - L,MS_DOMESTIC,0,0,1534,1534,1534,1534,01-Feb-25,18,FOC
MONTHLY_MAX_PROFIT,GA,SA_DOMESTIC,0,0,18,9,18,9,01-Mar-25,33,EMG
MONTHLY_MAX_PROFIT,GI,RE_DOMESTIC,0,0,2416,2416,2416,2416,01-Mar-25,34,EMG
MONTHLY_MAX_PROFIT,LPF,OE_DOMESTIC,0,0,1155,1141,1155,1141,01-Mar-25,35,STP
MONTHLY_MAX_PROFIT,RCS,RE_DOMESTIC,0,0,51,51,51,51,01-Mar-25,35,PRY
MONTHLY_MAX_PROFIT,CRCA,OE_DOMESTIC,889.27,889.270007,0,0,889.27,889.270007,01-Mar-25,23,STR
MONTHLY_MAX_PROFIT,HRPO,RE_DOMESTIC,0,0,7759,7661,7759,7661,01-Mar-25,35,PRY
MONTHLY_MAX_PROFIT,LRPC,OE_DOMESTIC,0,0,3199,3150,3199,3150,01-Mar-25,33,STP
MONTHLY_MAX_PROFIT,NOFP,OE_DOMESTIC,150,150,0,0,150,150,01-Mar-25,21,STP
MONTHLY_MAX_PROFIT,WR - AL,OE_DOMESTIC,30,30,0,0,30,30,01-Mar-25,23,STR
MONTHLY_MAX_PROFIT,TIN,OE_DOMESTIC,0,0,3021,3012,3021,3012,01-Apr-25,46,FOC
MONTHLY_MAX_PROFIT,CRCA,OE_DOMESTIC,0,0,6776,6776,6776,6776,01-Apr-25,48,STR
MONTHLY_MAX_PROFIT,CRCA,RE_DOMESTIC,0,0,18842,18842,18842,18842,01-Apr-25,48,STR
MONTHLY_MAX_PROFIT,GBAL,OE_DOMESTIC,0,0,34,0,34,0,01-Apr-25,46,EMG
MONTHLY_MAX_PROFIT,HRGI,MS_DOMESTIC,0,0,77,77,77,77,01-Apr-25,47,EMG
MONTHLY_MAX_PROFIT,PPGI,OE_DOMESTIC,0,0,337,286,337,286,01-Apr-25,46,EMG
MONTHLY_MAX_PROFIT,HRCTL,OE_DOMESTIC,147,147,0,0,147,147,01-Apr-25,43,STP
MONTHLY_MAX_PROFIT,HTLPF,OE_DOMESTIC,0,0,1200,1200,1200,1200,01-Apr-25,46,STP
MONTHLY_MAX_PROFIT,TMT-CF,OE_DOMESTIC,0,0,5863,5863,5863,5863,01-Apr-25,50,STP
MONTHLY_MAX_PROFIT,PRB_BRM,RE_DOMESTIC,0,0,897,897,897,897,01-Apr-25,48,PRY
MONTHLY_MAX_PROFIT,CRCA,SA_DOMESTIC,0,0,1549,1549,1549,1549,01-May-25,58,EMG
MONTHLY_MAX_PROFIT,NOSP,OE_DOMESTIC,0,0,129,129,129,129,01-May-25,58,EMG
MONTHLY_MAX_PROFIT,WR - L,MS_DOMESTIC,0,0,3170,3134,3170,3134,01-May-25,58,EMG
MONTHLY_MAX_PROFIT,PRB_BLM,SA_DOMESTIC,0,0,63,63,63,63,01-May-25,58,PRY
MONTHLY_MAX_PROFIT,WR - AL,OE_DOMESTIC,0,0,555,489,555,489,01-May-25,58,EMG
MONTHLY_MAX_PROFIT,AS CAST BILLETS,SA_DOMESTIC,0,0,1176,1176,1176,1176,01-May-25,58,STP
MONTHLY_MAX_PROFIT,GI,MS_DOMESTIC,578.64,543.640001,0,0,578.64,543.640001,01-Feb-25,3,EMG
MONTHLY_MAX_PROFIT,GI,RE_DOMESTIC,0,0,11855,10781,11855,10781,01-Feb-25,15,PRY
MONTHLY_MAX_PROFIT,GI,RE_DOMESTIC,0,0,444,424,444,424,01-Feb-25,15,STP
MONTHLY_MAX_PROFIT,GL,OE_DOMESTIC,0,0,432,425,432,425,01-Feb-25,15,EMG
MONTHLY_MAX_PROFIT,HR,RE_DOMESTIC,0,0,5309,5309,5309,5309,01-Feb-25,17,EMG
MONTHLY_MAX_PROFIT,HR,OTHERS,4931.125,4931.099976,0,0,4931.125,4931.099976,01-Feb-25,60,OTHERS
MONTHLY_MAX_PROFIT,TIN,OE_EXPORTS,917.89,917.89,0,0,917.89,917.89,01-Feb-25,1,EMG
MONTHLY_MAX_PROFIT,TMT,OE_DOMESTIC,0,0,13383,13383,13383,13383,01-Feb-25,18,STR
MONTHLY_MAX_PROFIT,CRCA,SA_DOMESTIC,0,0,4988,4092.6999,4988,4092.6999,01-Feb-25,16,STR
MONTHLY_MAX_PROFIT,HRPO,SA_DOMESTIC,0,0,312,206.05,312,206.05,01-Feb-25,16,PRY
MONTHLY_MAX_PROFIT,NOSP,MS_DOMESTIC,621.41,621.409997,0,0,621.41,621.409997,01-Feb-25,2,PRY
MONTHLY_MAX_PROFIT,NOSP,OE_DOMESTIC,665.04,665.040003,0,0,665.04,665.040003,01-Feb-25,2,PRY
MONTHLY_MAX_PROFIT,NOSP,MS_DOMESTIC,0,0,579,579,579,579,01-Feb-25,14,STR
MONTHLY_MAX_PROFIT,NOSP,OE_DOMESTIC,0,0,792,791.999996,792,791.999996,01-Feb-25,14,STR
MONTHLY_MAX_PROFIT,PRB_BRM,MS_DOMESTIC,5.91,5.91,0,0,5.91,5.91,01-Feb-25,4,FOC
MONTHLY_MAX_PROFIT,WR - AL,MS_DOMESTIC,0,0,345,340,345,340,01-Feb-25,16,STR
MONTHLY_MAX_PROFIT,GL,MS_DOMESTIC,0,0,1143,1135,1143,1135,01-Mar-25,34,EMG
MONTHLY_MAX_PROFIT,GL,RE_DOMESTIC,0,0,2132,2078,2132,2078,01-Mar-25,34,PRY
MONTHLY_MAX_PROFIT,HR,RE_DOMESTIC,0,0,38611,38611,38611,38611,01-Mar-25,36,PRY
MONTHLY_MAX_PROFIT,LPF,MS_DOMESTIC,0,0,398,398,398,398,01-Mar-25,35,STR
MONTHLY_MAX_PROFIT,RCS,RE_DOMESTIC,0,0,151,141,151,141,01-Mar-25,35,STP
MONTHLY_MAX_PROFIT,CRCA,MS_DOMESTIC,0,0,1451,1451,1451,1451,01-Mar-25,35,EMG
MONTHLY_MAX_PROFIT,CRCA,RE_DOMESTIC,0,0,504,504,504,504,01-Mar-25,35,EMG
MONTHLY_MAX_PROFIT,HRPO,RE_DOMESTIC,751.82,751.82,0,0,751.82,751.82,01-Mar-25,23,PRY
MONTHLY_MAX_PROFIT,PPGL,OE_DOMESTIC,363,363,0,0,363,363,01-Mar-25,21,FOC
MONTHLY_MAX_PROFIT,WR - AL,MS_DOMESTIC,0,0,55,55,55,55,01-Mar-25,35,FOC
MONTHLY_MAX_PROFIT,AS CAST BLOOMS,OE_DOMESTIC,0,0,8,8,8,8,01-Mar-25,38,EMG
MONTHLY_MAX_PROFIT,GL,MS_DOMESTIC,100,100,0,0,100,100,01-Apr-25,41,STR
MONTHLY_MAX_PROFIT,HRPO,RE_DOMESTIC,476.75,476.75,0,0,476.75,476.75,01-Apr-25,42,PRY
MONTHLY_MAX_PROFIT,NOFP,OE_DOMESTIC,0,0,8,0,8,0,01-Apr-25,48,STR
MONTHLY_MAX_PROFIT,NOSP,MS_DOMESTIC,0,0,456,456,456,456,01-Apr-25,46,PRY
MONTHLY_MAX_PROFIT,PPGI,MS_DOMESTIC,0,0,154,154,154,154,01-Apr-25,46,EMG
MONTHLY_MAX_PROFIT,WR - AL,OE_DOMESTIC,0,0,262,220,262,220,01-Apr-25,48,PRY
MONTHLY_MAX_PROFIT,AS CAST BILLETS,OE_DOMESTIC,0,0,104,104,104,104,01-Apr-25,51,FOC
MONTHLY_MAX_PROFIT,TFS,MS_DOMESTIC,0,0,4,4,4,4,01-May-25,58,PRY
MONTHLY_MAX_PROFIT,PPGI,RE_DOMESTIC,0,0,3808,3729,3808,3729,01-May-25,58,STR
MONTHLY_MAX_PROFIT,PPGL,RE_DOMESTIC,0,0,7480,7480,7480,7480,01-May-25,58,STP
MONTHLY_MAX_PROFIT,HRCTL,OE_DOMESTIC,0,0,15759,15674.6,15759,15674.6,01-May-25,58,STP
MONTHLY_MAX_PROFIT,WR - L,RE_DOMESTIC,0,0,23,23,23,23,01-May-25,58,STP
MONTHLY_MAX_PROFIT,CRFH,OE_DOMESTIC,117.17,117.17,0,0,117.17,117.17,01-Feb-25,5,FOC
MONTHLY_MAX_PROFIT,HRGI,OE_DOMESTIC,0,0,58,0,58,0,01-Feb-25,15,PRY
MONTHLY_MAX_PROFIT,HRGI,OE_DOMESTIC,0,0,1195,719,1195,719,01-Feb-25,15,STP
MONTHLY_MAX_PROFIT,HRPO,RE_DOMESTIC,1446.48,1396.480003,0,0,1446.48,1396.480003,01-Feb-25,4,FOC
MONTHLY_MAX_PROFIT,PPGL,OE_DOMESTIC,0,0,2402,2373,2402,2373,01-Feb-25,14,STR
MONTHLY_MAX_PROFIT,HRCTL,OE_DOMESTIC,836.72,0,0,0,836.72,0,01-Feb-25,-1,STR
MONTHLY_MAX_PROFIT,PRB_BRM,RE_DOMESTIC,0,0,122,122,122,122,01-Feb-25,16,EMG
MONTHLY_MAX_PROFIT,PRB_BRM,SA_DOMESTIC,0,0,425,411,425,411,01-Feb-25,16,STR
MONTHLY_MAX_PROFIT,HTPRB_BLM,SA_DOMESTIC,666.59,666.589989,0,0,666.59,666.589989,01-Feb-25,2,STP
MONTHLY_MAX_PROFIT,HTPRB_BRM,OE_DOMESTIC,138.22,138.220002,0,0,138.22,138.220002,01-Feb-25,2,EMG
