Plantname ,ITEM Name,Karnataka,Maharashtra,North,South,Grand Total
Dolvi,HR_LC_2.00-2.49_1101-1280,,310976.3893,83779.8562,5583,400339.2455
Dolvi,HR_LC_2.50-3.39_1101-1280,,344123.8407,43701.37155,1787.70105,389612.9133
Dolvi,HR_LC_2.00-2.49_900-1100,,143854.8446,32760.92908,,176615.7737
Dolvi,HR_LC_3.40-25.4_1101-1280,,85841.57558,6502.55896,109,92453.13454
Dolvi,HR_LC_2.00-2.49_1281-1550,,60707.65121,27739.14314,,88446.79435
Dolvi,HR_LC_2.50-3.39_1281-1550,,80911.20232,795,,81706.20232
Dolvi,HR_STR_3.40-25.4_1281-1550,,52061.96301,21,,52082.96301
Dolvi,HR_STR_2.50-3.39_1101-1280,,47371.57174,2951.476089,753,51076.04782
Dolvi,S_TMTBF_25_500D-550D-600D,,40884.10089,8041.832031,,48925.93292
Dolvi,HR_STR_3.40-25.4_1101-1280,,41078.27621,3241.235102,117,44436.51131
Dolvi,S_TMTBF_32_500D-550D-600D,,41765.92021,2384,,44149.92021
VJNR,HR_LC_2.50-3.39_1101-1280,152010,31962.93296,31205.59338,50743.29907,265921.8254
VJNR,HR_STR_3.40-25.4_1281-1550,8884.25,3708.565437,104302.5,26113.38001,143008.6954
VJNR,S_TMTBF_16_500D-550D-600D,40873.99982,2410.999996,19565.70009,52077.75083,114928.4507
VJNR,S_TMTBF_20_500D-550D-600D,33726.74999,15615.10515,6661.339996,32884.21932,88887.41445
VJNR,HR_LC_3.40-25.4_1281-1550,25148,15989.71758,20582,27022,88741.71758
VJNR,S_TMTBF_25_500D-550D-600D,21522.99987,319.000012,3143.42,62298.7002,87284.12008
VJNR,S_TMTBF_10_500D-550D-600D,36907.2075,,668,48495.70952,86070.91702
VJNR,S_TMTBF_12_500D-550D-600D,34883.52942,782.999992,5901.490005,41394.4699,82962.48932
VJNR,S_TMTBF_8_500D-550D-600D,41934.44823,,,35596.11558,77530.56381
VJNR,HR_LC_2.00-2.49_1101-1280,16420,1070,28487.20483,18868.56953,64845.77437
VJNR,S_WRCF_5.5-5.5_HC_SR,10245,17436,30585.99994,5394,63660.99994
VTK,PPGL_CL_HARD_PLAIN_0.46-0.60_1101-1235,,31687.65005,23109.89984,53317.13236,108114.6822
VTK,GL_CL_HARD_0.46-0.60_1101-1235,,5069,5826.73758,8584.831177,19480.56876
VTK,PPGL_CL_HARD_PLAIN_0.35-0.45_1101-1235,,7486.999632,151,7497.730011,15135.72964
VTK,GI_CL_LC_NONZERO_0.61-0.80_1101-1235,,7205.000005,,4333.348678,11538.34868
VTK,CRCA_CL_LC_0.46-0.60_1236-1280,,11339.81458,,,11339.81458
VTK,GI_CL_LC_NONZERO_0.46-0.60_1101-1235,,10844.00002,39.882198,,10883.88222
VTK,PPGL_CL_LC_PLAIN_0.35-0.45_1101-1235,,9378.999996,,1338.98241,10717.98241
VTK,PPGI_CL_HARD_PLAIN_0.46-0.60_1101-1235,4,10202.00083,,394.349997,10600.35082
VTK,PPGL_CL_LC_PLAIN_0.46-0.60_1101-1235,,8960,544,324,9828
VTK,GI_CG_HARD,,8108.638592,1707.545044,7,9823.183636
VTK,GI_CL_LC_NONZERO_1.51-2.30_1236-1280,,6358,498,1911.783798,8767.783798
