UDC_PRODUCT_GROUP,Feb,Mar,Apr,May,Grand Total
HOT_METAL,143309.6816,716991.8926,584625.2168,648010.3125,2092937.104
HR,95299.53749,513368.4298,531745.4331,497219.2965,1637632.697
SLAB,105309.4464,392427.028,359594.3119,372505.3046,1229836.091
CRFH,32037.91117,202838.5553,181121.6139,202791.201,618789.2813
DUM_SLAB,25586.99439,225901.4777,170965.1928,179935.2588,602388.9237
CRCA,12604.62499,169750.5006,189769.964,169709.9719,541835.0615
HRPO,18096.84975,151499.2266,122356.9304,132349.4855,424302.4922
AS CAST BILLETS,23517.77472,145505.4142,133727.8513,101178.571,403929.6112
TMT,20097.88194,107916.67,85621.88381,89344.15033,302980.5861
GI,15094.60536,85273.21235,89119.84448,88004.70614,277492.3683
DRI,16845.40698,80103.83887,72946.61817,77489.54834,247385.4124
MGP,22.999521,101611.985,20437.35416,81807.27619,203879.6149
GL,13701.17575,76068.94952,54804.5007,57399.24741,201973.8734
PPGL,8323.139248,41246.84232,40593.93701,38439.77525,128603.6938
WR - L,6491.151306,38613.37889,32271.77846,32807.50953,110183.8182
AS CAST BLOOMS,5467.010327,32217.31227,31572.19455,26544.26852,95800.78566
HRCTL,4494.165813,23971.23931,29423.46008,27741.13314,85629.99834
TIN,510.060653,16442.36895,21156.00818,17251.92346,55360.36124
PRB_BLM,147.61649,13916.52246,17443.11271,17457.3271,48964.57876
SCRAP_LOSS,2870.965902,15994.68877,14217.88185,13534.74282,46618.27934
PRB_BRM,6399.467671,10380.77905,12486.18186,14007.10395,43273.53252
GA,157.255814,16265.21601,12605.63944,12521.06154,41549.1728
HR_NCOPI,2106.368655,12413.13272,13961.3468,12647.10024,41127.94842
AS CAST ROUNDS,6245.364338,11213.16707,10114.15103,11860.80391,39433.48635
CRAN,737.384025,10576.99005,13253.58091,10892.54629,35460.50127
TMBP,733.635171,10342.67761,13464.46599,10735.9757,35276.75447
PPGI,1060.548469,11906.56124,9591.999668,12546.6571,35105.76648
NOSP,2362.607541,10059.75016,9848.712306,11762.79487,34033.86488
NOFP,1497.408889,10410.49514,8943.952608,12309.08383,33160.94047
WR - AL,1025.381573,8887.660727,10358.78996,9534.609161,29806.44142
HR2,22.737129,6623.706505,10445.9198,9980.40142,27072.76485
LRPC,,6832.052109,9759.164902,6774.586441,23365.80345
RCS,2569.412183,7068.90661,7419.852733,5420.485087,22478.65661
HRGI,116.990257,7002.06167,8989.268919,6153.649703,22261.97055
SMS_BYPRODUCT,1479.131912,6281.751789,6737.488885,6801.103226,21299.47581
CRFH_SCRAP,679.676336,4051.637035,3752.048017,4303.023096,12786.38448
ZM,,770.93225,5245.296238,4819.923767,10836.15226
LPF,,2792.952283,2812.353593,3947.447637,9552.753513
CRCA_SCRAP,291.872121,2448.644578,2854.102428,2780.818758,8375.437885
CRCA_DIVERSION,194.650141,2628.773477,2927.036179,2246.412211,7996.872008
HRPO_DIVERSION,13.104434,1756.615772,2207.135873,2197.895386,6174.751465
HRPO_SCRAP,265.040859,1750.086457,1449.719661,1600.542651,5065.389628
CRFH_DIVERSION,248.294436,1361.974997,1129.063364,1146.329591,3885.662388
CRFH_SECOND,186.199068,1242.949505,985.407859,1020.416391,3434.972823
GI_SECOND,221.124505,1145.512606,1075.622371,991.026845,3433.286327
HTWRC,,1578.393513,214.022396,1593.756801,3386.17271
GI_SCRAP,276.823141,1057.865757,975.876078,985.393793,3295.958769
