LOC,udc_product_grp,Feb,Mar,Apr,May,Jun,Total
1001,SLAB,120240.08,404045.71,369823.97,284891.76,47423.89,1226425.41
1001,HR,129058.66,463703.95,327796.24,47270.54,6332.13,974161.52
1001,CRCA,84846.87,443405.81,341732.54,80024.75,702.99,950712.96
1001,HRPO,27243.93,151032.36,149351.88,24905.07,395.63,352928.87
1001,GI,20430.94,135114.13,150316.84,30635.4,1609.39,338106.7
1001,AS CAST BILLETS,14251.64,82965.12,95482.53,104487.4,11754.75,308941.44
1001,TMT,5781.19,171648.45,111365.79,547.86,73.6,289416.89
1001,WR - L,20226.67,121661.17,100630.81,26913.64,6084.16,275516.45
1001,CRFH,32273.52,132786.46,72936.48,31007.63,4861.68,273865.77
1001,HRCTL,7910.48,47065.55,72365.9,12803.28,452.86,140598.07
1001,GA,15407.73,47063.83,21914.26,8112.33,1782.03,94280.18
1001,MGP,0,0,29572.04,46604.87,13070.62,89247.53
1001,NOFP,5496.9,32327.7,33425.98,14041.14,2145.2,87436.92
1001,HR2,0,36683.15,32250.81,8195.31,3.65,77132.92
1001,NOSP,7211.84,31043.94,24988.75,7012.94,17.81,70275.28
1001,GL,2216.72,18795.48,21593.56,6084.89,383.16,49073.81
1001,PPGL,731.33,22355.76,22150.92,2404.43,5.75,47648.19
1001,GBAL,2585.84,10343.36,10343.36,10343.36,2585.84,36201.76
1001,ZM,3906.48,13485.93,14841.56,1270.57,304.47,33809.01
1001,TMT-CF,1839.19,19449.08,10394.55,0.08,0.02,31682.92
1001,WR - AL,1394.27,7920.21,4139.67,210,35,13699.15
1001,LRPC,2076.51,6539.85,4471.97,34.52,8.63,13131.48
1001,PPGI,16.58,66.32,66.32,66.32,16.58,232.12
1001,DRI,0,-0.01,153.84,-0.06,-0.01,153.76
1007,HR,66988.43,474944.33,402062.08,100795.59,1550.06,1046340.49
1007,SLAB,62077.88,233854.31,429737.93,176646.94,1751.5,904068.56
1007,AS CAST BILLETS,19771.73,104808.25,263615.34,122780.24,-0.42,510975.14
1007,TMT,715.64,80427.7,32612.24,8961.66,-0.02,122717.22
1007,HRCTL,5470.3,33962.95,26056.39,521.39,106.03,66117.06
1007,MGP,0,0,0,14884.94,47165.15,62050.09
1007,HRPO,1660.2,14876.06,15838.9,3810.63,83.65,36269.44
1007,DRI,0,0.01,0.02,29616.2,0.03,29616.26
1002,AS CAST BLOOMS,13816.69,65490.23,73303.35,75486.45,752.03,228848.75
1002,MGP,0,9916.72,32149.52,53434.86,54493.4,149994.5
1002,AS CAST BILLETS,5940.44,26043.99,31124.81,32762.24,17.55,95889.03
1002,RCS,3399.69,12622.88,14142.97,8037.79,88.16,38291.49
1002,AS CAST ROUNDS,2297.91,13157.2,9654.75,4988.79,919.09,31017.74
1002,WR - AL,3571.89,15643.06,10110.65,959.4,19.18,30304.18
1002,LPF,2792.1,12838.56,5711.33,4308.06,65.66,25715.71
1002,HTWRC,1725.21,8587.36,4668.55,1972.32,178.33,17131.77
1002,GBAL,1470.77,5600.82,3932.72,2282.72,317.97,13605
1002,WR - L,1485.59,5942.36,1567.24,397.6,84.65,9477.44
1002,HTLPF,490.96,3045.4,786,1276,0,5598.36
1002,BS,97.89,594.88,324.88,285.15,0,1302.8
1002,HEX,0,0,0,0,0,0
1002,SLAB,0,0,0,0,0,0
1002,HR,0,0,0,0,0,0
