Month,Product_Group,MARKET_SEGMENT,CUSTOMER_SEGMENT,PRIORITY,Total_Orders,Total_Met_Orders,Fill_Rate
01-07-2024,AS CAST BILLETS,MS_DOMESTIC,EMG,2.0,100.0,100.0,100.0
01-07-2024,AS CAST BILLETS,MS_DOMESTIC,PRY,2.0,400.0,400.0,100.0
01-07-2024,AS CAST BILLETS,MS_DOMESTIC,STR,2.0,5645.0,1004.0,17.785651018600532
01-07-2024,AS CAST BILLETS,OE_DOMESTIC,EMG,2.0,170.0,105.0,61.76470588235294
01-07-2024,AS CAST BILLETS,OE_DOMESTIC,FOC,2.0,130.0,130.0,100.0
01-07-2024,AS CAST BILLETS,OE_DOMESTIC,PRY,2.0,1780.0,330.0,18.53932584269663
01-07-2024,AS CAST BILLETS,OE_DOMESTIC,STP,2.0,1145.0,20.0,1.7467248908296942
01-07-2024,AS CAST BILLETS,OE_DOMESTIC,STR,2.0,920.0,340.0,36.95652173913043
01-07-2024,AS CAST BILLETS,OTHERS,OTHERS,60.0,6800.0,0.0,0.0
01-07-2024,AS CAST BLOOMS,OE_DOMESTIC,STR,7.0,259.0,259.0,100.0
01-07-2024,AS CAST BLOOMS,OE_EXPORTS,STP,1.0,5000.0,5000.0,100.0
01-07-2024,AS CAST BLOOMS,SA_DOMESTIC,STP,7.0,198.0,198.0,100.0
01-07-2024,AS CAST ROUNDS,OE_DOMESTIC,STP,7.0,24352.0,10277.0,42.20187253613666
01-07-2024,BS,SA_DOMESTIC,STP,2.0,363.0,363.0,100.0
01-07-2024,CRCA,DE_DOMESTIC,STR,4.0,78.0,78.0,100.0
01-07-2024,CRCA,MS_DOMESTIC,EMG,4.0,400.0,291.0,72.75
01-07-2024,CRCA,MS_DOMESTIC,FOC,4.0,360.0,0.0,0.0
01-07-2024,CRCA,MS_DOMESTIC,PRY,4.0,1935.0,109.0,5.633074935400517
01-07-2024,CRCA,MS_DOMESTIC,STP,-1.0,1540.0,0.0,0.0
