,Item,Resource,Production_Rate,Max_Production_Rate,Increase_In_TPH,Yield,Max_Yield,Increase_In_Yield
0,NOSP_CL_HHSLA_0.51-3.20_1101-1350,VJAPL,66.0,72.6,6.6,0.98,1.0,0.02
1,NOSP_CL_LC_0.30-0.50_30-250,VJAPL,66.0,72.6,6.6,0.98,1.0,0.02
2,NOSP_CL_LSQ_0.30-0.50_900-1100,VJAPL,66.0,72.6,6.6,0.98,1.0,0.02
3,NOSP_SH_HHSLA_0.51-3.20_451-899,VJAPL,66.0,72.6,6.6,0.98,1.0,0.02
4,NOSP_SH_LC_0.30-0.50_900-1100,VJAPL,66.0,72.6,6.6,0.98,1.0,0.02
5,NOSP_SH_LC_0.51-3.20_451-899,VJAPL,66.0,72.6,6.6,0.98,1.0,0.02
6,NOSP_SH_LSQ_0.51-3.20_1101-1350,VJAPL,66.0,72.6,6.6,0.99,1.0,0.01
7,NOSPTR_CL_LC_0.30-0.50_1101-1350,VJAPL,21.0,23.1,2.1,0.99,1.0,0.01
8,NOSPTR_CL_LC_0.30-0.50_1551-1890,VJAPL,21.0,23.1,2.1,0.99,1.0,0.01
9,NOSPTR_CL_LC_0.30-0.50_900-1100,VJAPL,21.0,23.1,2.1,0.99,1.0,0.01
10,NOSPTR_CL_LC_0.51-3.20_1101-1350,VJAPL,21.0,23.1,2.1,0.99,1.0,0.01
11,NOSPTR_CL_LC_0.51-3.20_1551-1890,VJAPL,21.0,23.1,2.1,0.99,1.0,0.01
12,NOSPTR_CL_LC_0.51-3.20_900-1100,VJAPL,21.0,23.1,2.1,0.99,1.0,0.01
13,NOSPTR_CL_LSQ_0.30-0.50_1101-1350,VJAPL,21.0,23.1,2.1,0.99,1.0,0.01
14,NOSPTR_CL_LSQ_0.30-0.50_900-1100,VJAPL,21.0,23.1,2.1,0.99,1.0,0.01
15,NOSPTR_CL_LSQ_0.51-3.20_1101-1350,VJAPL,21.0,23.1,2.1,0.99,1.0,0.01
16,NOSPTR_CL_LSQ_0.51-3.20_900-1100,VJAPL,21.0,23.1,2.1,0.99,1.0,0.01
17,TMBP_CL_DR_0.14-0.22_626-762_NOC,TDCR1,8.83,9.7,0.87,0.95,0.96,0.01
18,TMBP_CL_DR_0.14-0.22_626-762_NOC,TDCR1,25.35,27.9,2.55,0.95,0.96,0.01
19,TMBP_CL_DR_0.14-0.22_900-1100_OTSC,TDCR1,12.72,14.0,1.28,0.95,0.96,0.01
20,TMBP_CL_DR_0.23-0.34_626-762_OTSC,TDCR1,13.97,15.4,1.43,0.93,0.96,0.03
21,TMBP_CL_DR_0.23-0.34_763-899_NOC,TDCR1,16.0,17.6,1.6,0.93,0.96,0.03
22,TMBP_CL_DR_0.23-0.34_900-1100_NOC,TDCR1,25.35,27.9,2.55,0.95,0.96,0.01
23,TMBP_CL_DR_0.23-0.34_900-1100_OTSC,TDCR1,16.0,17.6,1.6,0.93,0.96,0.03
24,TMBP_CL_SR_0.23-0.34_900-1100_NOC,TDCR1,25.35,27.9,2.55,0.95,0.96,0.01
25,TMBP_CL_SR_0.35-0.45_626-762_OTSC,TDCR1,23.0,25.3,2.3,0.93,0.96,0.03
26,TMBP_CL_SR_0.35-0.45_763-899_NOC,TDCR1,23.0,25.3,2.3,0.95,0.96,0.01
27,TMBP_CL_SR_0.46-0.60_900-1100_NOC,TDCR1,25.35,27.9,2.55,0.95,0.96,0.01
28,TMBP_SH_DR_NOC,TDCR1,4.85,5.3,0.45,0.94,0.96,0.02
29,TMBP_SH_DR_NOC,TDCR1,5.7,6.3,0.6,0.94,0.96,0.02
30,TMBP_SH_DR_NOC,TDCR1,14.58,16.0,1.42,0.94,0.96,0.02
31,TMBP_SH_SR_NOC,TDCR1,4.95,5.4,0.45,0.94,0.96,0.02
32,TMBP_SH_SR_NOC,TDCR1,5.7,6.3,0.6,0.94,0.96,0.02
33,TMBP_SH_SR_NOC,TDCR1,14.58,16.0,1.42,0.94,0.96,0.02
